  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.6510, device='cuda:0') 111.125 112.5625
tensor(0.6444, device='cuda:0') 111.125 112.5
tensor(0.6379, device='cuda:0') 111.0625 112.4375
tensor(0.6309, device='cuda:0') 111.0625 112.4375
tensor(0.6231, device='cuda:0') 111.0 112.375
tensor(0.6175, device='cuda:0') 111.0 112.3125
tensor(0.6078, device='cuda:0') 110.9375 112.25
tensor(0.5909, device='cuda:0') 110.9375 112.1875
tensor(0.5734, device='cuda:0') 110.9375 112.125
tensor(0.5829, device='cuda:0') 110.875 112.125
tensor(0.5673, device='cuda:0') 110.875 112.0625
tensor(0.5858, device='cuda:0') 110.875 112.0

 17%|██████████████████████████████████████████▊                                                                                                                                                                                                                 | 17/100 [01:58<09:39,  6.98s/it]
tensor(0.6988, device='cuda:0') 99.375 101.4375
tensor(0.6987, device='cuda:0') 99.3125 101.4375
tensor(0.7025, device='cuda:0') 99.3125 101.375
tensor(0.7066, device='cuda:0') 99.3125 101.3125
tensor(0.7111, device='cuda:0') 99.25 101.25
tensor(0.7136, device='cuda:0') 99.25 101.125
tensor(0.7186, device='cuda:0') 99.1875 101.0625
tensor(0.7221, device='cuda:0') 99.1875 100.9375
tensor(0.7229, device='cuda:0') 99.125 100.8125
tensor(0.7224, device='cuda:0') 99.125 100.6875
tensor(0.7199, device='cuda:0') 99.0625 100.5625
tensor(0.7171, device='cuda:0') 99.0625 100.5
tensor(0.7097, device='cuda:0') 99.0625 100.375
tensor(0.6952, device='cuda:0') 99.0625 100.25
tensor(0.6738, device='cuda:0') 99.0625 100.1875
tensor(0.6423, device='cuda:0') 99.0625 100.0625
tensor(0.5997, device='cuda:0') 99.0625 100.0

 18%|█████████████████████████████████████████████▎                                                                                                                                                                                                              | 18/100 [02:05<09:33,  6.99s/it]
tensor(0.4810, device='cuda:0') 99.125 99.8125
tensor(0.4987, device='cuda:0') 99.1875 99.75
tensor(0.5904, device='cuda:0') 142.0 143.75
tensor(0.5897, device='cuda:0') 142.0 143.75
tensor(0.5824, device='cuda:0') 142.0 143.75
tensor(0.5806, device='cuda:0') 142.0 143.75
tensor(0.5696, device='cuda:0') 141.875 143.625
tensor(0.5728, device='cuda:0') 141.875 143.625
tensor(0.6180, device='cuda:0') 141.875 143.625
tensor(0.6194, device='cuda:0') 141.875 143.5
tensor(0.6277, device='cuda:0') 141.75 143.5
tensor(0.6331, device='cuda:0') 141.75 143.375
tensor(0.6305, device='cuda:0') 141.75 143.375
tensor(0.6280, device='cuda:0') 141.75 143.25
tensor(0.6164, device='cuda:0') 141.625 143.25
tensor(0.6002, device='cuda:0') 141.625 143.125
tensor(0.5748, device='cuda:0') 141.625 143.125
tensor(0.5228, device='cuda:0') 141.5 143.0
tensor(0.4489, device='cuda:0') 141.5 143.0
tensor(0.3606, device='cuda:0') 141.5 142.875
tensor(0.2699, device='cuda:0') 141.5 142.875

 19%|███████████████████████████████████████████████▉                                                                                                                                                                                                            | 19/100 [02:12<09:26,  6.99s/it]
tensor(0.4190, device='cuda:0') 111.375 113.5
tensor(0.4315, device='cuda:0') 111.375 113.5
tensor(0.4624, device='cuda:0') 111.3125 113.4375
tensor(0.5103, device='cuda:0') 111.3125 113.375
tensor(0.5545, device='cuda:0') 111.25 113.3125
tensor(0.5525, device='cuda:0') 111.25 113.25
tensor(0.5460, device='cuda:0') 111.1875 113.25
tensor(0.5389, device='cuda:0') 111.125 113.1875
tensor(0.5274, device='cuda:0') 111.0625 113.125
tensor(0.5083, device='cuda:0') 111.0625 113.0625
tensor(0.4830, device='cuda:0') 111.0 113.0
tensor(0.4575, device='cuda:0') 110.9375 112.875
tensor(0.4369, device='cuda:0') 110.875 112.8125
tensor(0.4291, device='cuda:0') 110.8125 112.75
tensor(0.4955, device='cuda:0') 110.8125 112.6875
tensor(0.5703, device='cuda:0') 110.75 112.625
tensor(0.5494, device='cuda:0') 110.6875 112.5625

 20%|██████████████████████████████████████████████████▍                                                                                                                                                                                                         | 20/100 [02:19<09:19,  6.99s/it]
tensor(0.4782, device='cuda:0') 110.625 112.375
tensor(0.4324, device='cuda:0') 110.5625 112.375
tensor(0.6493, device='cuda:0') 128.5 129.75
tensor(0.6458, device='cuda:0') 128.5 129.75
tensor(0.6402, device='cuda:0') 128.375 129.75
tensor(0.6292, device='cuda:0') 128.375 129.75
tensor(0.6245, device='cuda:0') 128.375 129.75
tensor(0.6341, device='cuda:0') 128.375 129.625
tensor(0.6392, device='cuda:0') 128.375 129.625
tensor(0.6289, device='cuda:0') 128.375 129.625
tensor(0.6245, device='cuda:0') 128.25 129.625
tensor(0.6175, device='cuda:0') 128.25 129.5
tensor(0.6269, device='cuda:0') 128.25 129.5
tensor(0.6203, device='cuda:0') 128.25 129.5
tensor(0.6012, device='cuda:0') 128.25 129.5
tensor(0.6054, device='cuda:0') 128.25 129.5
tensor(0.5606, device='cuda:0') 128.125 129.5
tensor(0.5215, device='cuda:0') 128.125 129.375
tensor(0.4934, device='cuda:0') 128.125 129.375
tensor(0.4758, device='cuda:0') 128.125 129.375
tensor(0.3504, device='cuda:0') 128.125 129.375

 21%|████████████████████████████████████████████████████▉                                                                                                                                                                                                       | 21/100 [02:26<09:11,  6.99s/it]
