
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
 22%|███████████████████████████████████████████████████████████▏                                                                                                                                                                                                                 | 22/100 [12:07<43:04, 33.13s/it]
tuning, 0, 0.0017630410147830844
tuning, 1, 0.0021293386816978455
tuning, 2, 0.0023345088120549917
tuning, 3, 0.001655189204029739
tuning, 4, 0.0018185086082667112
tuning, 5, 0.0013700034469366074
tuning, 6, 0.0014095738297328353
tuning, 7, 0.0015131558757275343
tuning, 8, 0.0015070491936057806
tuning, 9, 0.0013753492385149002
tuning, 10, 0.0012177558382973075
tuning, 11, 0.001170522766187787
tuning, 12, 0.0011705686338245869
tuning, 13, 0.001152580138295889
tuning, 14, 0.0011096978560090065
tuning, 15, 0.001045167911797762

 23%|█████████████████████████████████████████████████████████████▊                                                                                                                                                                                                               | 23/100 [12:40<42:29, 33.12s/it]
tuning, 17, 0.0010213433997705579
tuning, 18, 0.0010225094156339765
tuning, 19, 0.0009564686333760619
tuning, 0, 0.0036917466204613447
tuning, 1, 0.0034134406596422195
tuning, 2, 0.0030385558493435383
tuning, 3, 0.002749101724475622
tuning, 4, 0.0026733882259577513
tuning, 5, 0.002681018551811576
tuning, 6, 0.002600399311631918
tuning, 7, 0.002450960222631693
tuning, 8, 0.0022919289767742157
tuning, 9, 0.002296434249728918
tuning, 10, 0.002327081747353077
tuning, 11, 0.0022068535909056664
tuning, 12, 0.002085299463942647
tuning, 13, 0.0020425966940820217
tuning, 14, 0.002013102639466524
tuning, 15, 0.001979484222829342
tuning, 16, 0.0019497766625136137
tuning, 17, 0.001905600423924625
tuning, 18, 0.0018464417662471533

 24%|████████████████████████████████████████████████████████████████▌                                                                                                                                                                                                            | 24/100 [13:14<41:55, 33.10s/it]
tuning, 0, 0.008653666824102402
tuning, 1, 0.008430938236415386
tuning, 2, 0.008296379819512367
tuning, 3, 0.008033456280827522
tuning, 4, 0.007810334675014019
tuning, 5, 0.007565057836472988
tuning, 6, 0.00737198069691658
tuning, 7, 0.007204623427242041
tuning, 8, 0.0070588244125247
tuning, 9, 0.0068963998928666115
tuning, 10, 0.006743214558809996
tuning, 11, 0.006623868830502033
tuning, 12, 0.006494755856692791
tuning, 13, 0.006354814395308495
tuning, 14, 0.0062213316559791565
tuning, 15, 0.006088043563067913

 25%|███████████████████████████████████████████████████████████████████▎                                                                                                                                                                                                         | 25/100 [13:47<41:19, 33.06s/it]
tuning, 17, 0.005851157009601593
tuning, 18, 0.005735078360885382
tuning, 19, 0.005616041831672192
tuning, 0, 0.002044595079496503
tuning, 1, 0.0017196321859955788
tuning, 2, 0.0012443193700164557
tuning, 3, 0.0012070054654031992
tuning, 4, 0.0011622485471889377
tuning, 5, 0.0010635966900736094
tuning, 6, 0.0009434408857487142
tuning, 7, 0.0009108371450565755
tuning, 8, 0.0008877349901013076
tuning, 9, 0.0008723423234187067
tuning, 10, 0.0008741886704228818
tuning, 11, 0.000862664426676929
tuning, 12, 0.0008183502359315753
tuning, 13, 0.000755458022467792
tuning, 14, 0.000705382670275867
tuning, 15, 0.0006818232941441238
tuning, 16, 0.000669840956106782
tuning, 17, 0.0006469289073720574
tuning, 18, 0.0006098524900153279

 26%|█████████████████████████████████████████████████████████████████████▉                                                                                                                                                                                                       | 26/100 [14:20<40:48, 33.09s/it]
tuning, 0, 0.001977205276489258
tuning, 1, 0.0017261625034734607
tuning, 2, 0.0015627744141966105
tuning, 3, 0.0014535024529322982
tuning, 4, 0.0013733746018260717
tuning, 5, 0.0013054388109594584
tuning, 6, 0.0012570188846439123
tuning, 7, 0.0012126672081649303
tuning, 8, 0.0011666410136967897
tuning, 9, 0.0011234434787184
tuning, 10, 0.0010883449576795101
tuning, 11, 0.0010548292193561792
tuning, 12, 0.0010169544257223606
tuning, 13, 0.0009828375186771154
tuning, 14, 0.00095224694814533
tuning, 15, 0.0009229365969076753

 27%|████████████████████████████████████████████████████████████████████████▋                                                                                                                                                                                                    | 27/100 [14:53<40:14, 33.07s/it]
tuning, 17, 0.0008727947133593261
tuning, 18, 0.0008474900387227535
tuning, 19, 0.0008300228510051966
tuning, 0, 0.002063650405034423
tuning, 1, 0.001968605909496546
tuning, 2, 0.0017590457573533058
tuning, 3, 0.0016195885837078094
tuning, 4, 0.0015334708150476217
tuning, 5, 0.0014509533066302538
tuning, 6, 0.001371733844280243
tuning, 7, 0.0013113216264173388
tuning, 8, 0.0012566972291097045
tuning, 9, 0.001194480573758483
tuning, 10, 0.001133987563662231
tuning, 11, 0.0010857966262847185
tuning, 12, 0.0010489718988537788
tuning, 13, 0.0010150385787710547
tuning, 14, 0.0009775992948561907
tuning, 15, 0.000938903889618814
tuning, 16, 0.0009064269252121449
tuning, 17, 0.0008801746880635619
tuning, 18, 0.0008532297215424478

 28%|███████████████████████████████████████████████████████████████████████████▎                                                                                                                                                                                                 | 28/100 [15:25<39:27, 32.88s/it]
tuning, 0, 0.0016838384326547384
tuning, 1, 0.002314409939572215
tuning, 2, 0.0010760014411062002
tuning, 3, 0.0008415415650233626
