  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.4108, device='cuda:0') 127.0625 129.75
tensor(0.3302, device='cuda:0') 127.0 129.625
tensor(0.3842, device='cuda:0') 127.0 129.625
tensor(0.4103, device='cuda:0') 127.0 129.75
tensor(0.2991, device='cuda:0') 127.0 129.75
tensor(0.3296, device='cuda:0') 127.0 129.75
tensor(0.3199, device='cuda:0') 126.9375 129.75
tensor(0.3030, device='cuda:0') 126.9375 129.75
tensor(0.2923, device='cuda:0') 126.9375 129.75
tensor(0.6560, device='cuda:0') 126.9375 129.75
tensor(0.7097, device='cuda:0') 126.9375 129.875
tensor(0.7032, device='cuda:0') 126.9375 129.875
tensor(0.6633, device='cuda:0') 126.9375 129.875
tensor(0.5281, device='cuda:0') 126.875 129.875
tensor(0.5121, device='cuda:0') 126.875 129.875
tensor(0.5278, device='cuda:0') 126.875 129.875
tensor(0.5391, device='cuda:0') 126.875 130.0
tensor(0.5228, device='cuda:0') 126.8125 130.0
tensor(0.5584, device='cuda:0') 126.8125 130.0
tensor(0.5733, device='cuda:0') 126.8125 130.0
tensor(0.5345, device='cuda:0') 126.8125 130.0
tensor(0.5063, device='cuda:0') 126.75 130.0
tensor(0.4619, device='cuda:0') 126.75 130.0
tensor(0.3001, device='cuda:0') 126.75 130.0
tensor(0.2779, device='cuda:0') 126.6875 130.0
tensor(0.3605, device='cuda:0') 126.6875 130.0
tensor(0.3369, device='cuda:0') 126.6875 130.0
tensor(0.2839, device='cuda:0') 126.625 130.0
tensor(0.3246, device='cuda:0') 126.625 129.875
tensor(0.2077, device='cuda:0') 126.625 129.875
tensor(0.1728, device='cuda:0') 126.5625 129.875
tensor(0.2924, device='cuda:0') 126.5625 129.875
tensor(0.2791, device='cuda:0') 126.5625 129.875
tensor(0.3055, device='cuda:0') 126.5625 129.875
tensor(0.3363, device='cuda:0') 126.5625 129.875
tensor(0.3098, device='cuda:0') 126.5 129.875
tensor(0.2956, device='cuda:0') 126.5 129.875
tensor(0.2781, device='cuda:0') 126.5 129.875
tensor(0.2560, device='cuda:0') 126.4375 129.875
tensor(0.1881, device='cuda:0') 126.4375 129.875
tensor(0.1522, device='cuda:0') 126.4375 129.75
tensor(0.1338, device='cuda:0') 126.4375 129.75
tensor(0.1111, device='cuda:0') 126.375 129.75
tensor(0.0852, device='cuda:0') 126.375 129.75
tensor(0.0749, device='cuda:0') 126.375 129.75
tensor(0.0865, device='cuda:0') 126.375 129.75

  3%|███████▌                                                                                                                                                                                                                                                     | 3/100 [01:32<49:40, 30.73s/it]
tensor(0.8342, device='cuda:0') 126.625 127.375
tensor(0.8375, device='cuda:0') 126.625 127.375
tensor(0.8457, device='cuda:0') 126.625 127.375
tensor(0.8643, device='cuda:0') 126.625 127.375
tensor(0.8798, device='cuda:0') 126.625 127.375
tensor(0.8972, device='cuda:0') 126.625 127.3125
tensor(0.9143, device='cuda:0') 126.625 127.3125
tensor(0.9295, device='cuda:0') 126.625 127.3125
tensor(0.9480, device='cuda:0') 126.625 127.25
tensor(0.9644, device='cuda:0') 126.625 127.3125
tensor(0.9860, device='cuda:0') 126.625 127.25
tensor(1.0076, device='cuda:0') 126.6875 127.25
tensor(1.0305, device='cuda:0') 126.6875 127.25
tensor(1.0497, device='cuda:0') 126.6875 127.25
tensor(1.0722, device='cuda:0') 126.6875 127.25
tensor(1.0871, device='cuda:0') 126.6875 127.25
tensor(1.0871, device='cuda:0') 126.75 127.25
tensor(1.0775, device='cuda:0') 126.75 127.25
tensor(1.0706, device='cuda:0') 126.75 127.25
tensor(1.0625, device='cuda:0') 126.75 127.1875
tensor(1.0466, device='cuda:0') 126.75 127.1875
tensor(1.0315, device='cuda:0') 126.75 127.1875
tensor(1.0185, device='cuda:0') 126.75 127.1875
tensor(1.0140, device='cuda:0') 126.75 127.1875
tensor(1.0056, device='cuda:0') 126.75 127.1875
tensor(0.9954, device='cuda:0') 126.75 127.1875
tensor(0.9775, device='cuda:0') 126.75 127.1875
tensor(0.9624, device='cuda:0') 126.75 127.125
tensor(0.9610, device='cuda:0') 126.6875 127.125
tensor(0.9704, device='cuda:0') 126.6875 127.125
tensor(0.9791, device='cuda:0') 126.6875 127.125
tensor(0.9859, device='cuda:0') 126.625 127.0625
tensor(0.9901, device='cuda:0') 126.625 127.0625
tensor(0.9993, device='cuda:0') 126.5625 127.0625
tensor(1.0044, device='cuda:0') 126.5625 127.0625
tensor(1.0211, device='cuda:0') 126.5 127.0625
tensor(1.0449, device='cuda:0') 126.5 127.0
tensor(1.0590, device='cuda:0') 126.4375 127.0625
tensor(1.0855, device='cuda:0') 126.4375 127.0
tensor(1.0969, device='cuda:0') 126.375 127.0
tensor(1.1243, device='cuda:0') 126.3125 127.0
tensor(1.1277, device='cuda:0') 126.3125 126.9375
tensor(1.1220, device='cuda:0') 126.25 126.9375
tensor(1.1177, device='cuda:0') 126.25 126.9375
tensor(1.1264, device='cuda:0') 126.1875 126.9375
tensor(1.1159, device='cuda:0') 126.1875 126.9375
tensor(1.1120, device='cuda:0') 126.125 126.875
tensor(1.1112, device='cuda:0') 126.0625 126.875
tensor(1.0925, device='cuda:0') 126.0625 126.875
tensor(1.0931, device='cuda:0') 126.0 126.875
tensor(1.0818, device='cuda:0') 126.0 126.875
tensor(1.0726, device='cuda:0') 125.9375 126.875
tensor(1.0521, device='cuda:0') 125.9375 126.875
tensor(1.0355, device='cuda:0') 125.875 126.875
tensor(1.0347, device='cuda:0') 125.875 126.8125
tensor(1.0191, device='cuda:0') 125.8125 126.8125
tensor(1.0067, device='cuda:0') 125.8125 126.8125
tensor(1.0025, device='cuda:0') 125.8125 126.8125
tensor(0.9954, device='cuda:0') 125.75 126.8125
tensor(0.9801, device='cuda:0') 125.75 126.8125
tensor(0.9643, device='cuda:0') 125.6875 126.8125
tensor(0.9437, device='cuda:0') 125.6875 126.8125
tensor(0.9237, device='cuda:0') 125.6875 126.75
tensor(0.9059, device='cuda:0') 125.625 126.8125
tensor(0.8998, device='cuda:0') 125.625 126.8125
tensor(0.8740, device='cuda:0') 125.625 126.75
tensor(0.8693, device='cuda:0') 125.5625 126.75
tensor(0.8575, device='cuda:0') 125.5625 126.75
tensor(0.8480, device='cuda:0') 125.5625 126.75
tensor(0.8361, device='cuda:0') 125.5625 126.75
tensor(0.8229, device='cuda:0') 125.5 126.75
tensor(0.8121, device='cuda:0') 125.5 126.75
tensor(0.7988, device='cuda:0') 125.5 126.75
tensor(0.7870, device='cuda:0') 125.5 126.75
tensor(0.7667, device='cuda:0') 125.4375 126.75
tensor(0.7538, device='cuda:0') 125.4375 126.75
tensor(0.7294, device='cuda:0') 125.4375 126.75
tensor(0.7119, device='cuda:0') 125.4375 126.75
tensor(0.6769, device='cuda:0') 125.4375 126.75
tensor(0.6552, device='cuda:0') 125.4375 126.75
tensor(0.6319, device='cuda:0') 125.375 126.75
tensor(0.6056, device='cuda:0') 125.375 126.75
tensor(0.5826, device='cuda:0') 125.375 126.75
tensor(0.5588, device='cuda:0') 125.375 126.75
tensor(0.5553, device='cuda:0') 125.375 126.75
tensor(0.5396, device='cuda:0') 125.375 126.75
tensor(0.5376, device='cuda:0') 125.3125 126.75
tensor(0.5339, device='cuda:0') 125.3125 126.75
tensor(0.6114, device='cuda:0') 125.3125 126.75
tensor(0.5778, device='cuda:0') 125.3125 126.75
tensor(0.5541, device='cuda:0') 125.3125 126.75
tensor(0.5226, device='cuda:0') 125.3125 126.75
tensor(0.4937, device='cuda:0') 125.3125 126.6875
tensor(0.4664, device='cuda:0') 125.3125 126.6875
tensor(0.4211, device='cuda:0') 125.3125 126.6875
tensor(0.4025, device='cuda:0') 125.3125 126.6875

  4%|██████████                                                                                                                                                                                                                                                   | 4/100 [02:02<49:10, 30.74s/it]
tensor(0.3658, device='cuda:0') 125.25 126.6875
tensor(0.2995, device='cuda:0') 125.25 126.6875
tensor(0.1184, device='cuda:0') 125.25 126.6875
tensor(0.6173, device='cuda:0') 130.375 130.375
tensor(0.6177, device='cuda:0') 130.5 130.375
tensor(0.5487, device='cuda:0') 130.5 130.25
tensor(0.4964, device='cuda:0') 130.5 130.25
tensor(0.4267, device='cuda:0') 130.625 130.25
tensor(0.3849, device='cuda:0') 130.625 130.125
tensor(0.3689, device='cuda:0') 130.75 130.125
tensor(0.3693, device='cuda:0') 130.875 130.0
tensor(0.3642, device='cuda:0') 131.0 130.0
tensor(0.4667, device='cuda:0') 131.125 129.875
tensor(0.5586, device='cuda:0') 131.25 129.875
tensor(0.4887, device='cuda:0') 131.375 129.875
tensor(0.3686, device='cuda:0') 131.5 129.875
tensor(0.2970, device='cuda:0') 131.625 129.75
tensor(0.3147, device='cuda:0') 131.875 129.75
tensor(0.3150, device='cuda:0') 132.0 129.75
tensor(0.3028, device='cuda:0') 132.25 129.75
tensor(0.2641, device='cuda:0') 132.5 129.75
tensor(0.2985, device='cuda:0') 132.625 129.75
tensor(0.3058, device='cuda:0') 132.875 129.75
tensor(0.3170, device='cuda:0') 133.125 129.875
tensor(0.3657, device='cuda:0') 133.375 129.875
tensor(0.3352, device='cuda:0') 133.5 129.875
tensor(0.3390, device='cuda:0') 133.75 129.875
tensor(0.3459, device='cuda:0') 134.0 129.875
tensor(0.3621, device='cuda:0') 134.25 129.875
tensor(0.3850, device='cuda:0') 134.375 130.0
tensor(0.4109, device='cuda:0') 134.625 130.0
tensor(0.4300, device='cuda:0') 134.875 130.0
tensor(0.4696, device='cuda:0') 135.0 130.0
tensor(0.4765, device='cuda:0') 135.25 130.0
tensor(0.4137, device='cuda:0') 135.375 130.0
tensor(0.3902, device='cuda:0') 135.625 130.0
tensor(0.3873, device='cuda:0') 135.75 130.0
tensor(0.4076, device='cuda:0') 136.0 130.0
tensor(0.3697, device='cuda:0') 136.125 130.0
tensor(0.3328, device='cuda:0') 136.25 130.0
tensor(0.3105, device='cuda:0') 136.5 130.0
tensor(0.3042, device='cuda:0') 136.625 130.125
tensor(0.3011, device='cuda:0') 136.75 130.125
tensor(0.2930, device='cuda:0') 136.875 130.125
