
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 17, 0.0012164986692368984
tuning, 18, 0.0011314870789647102

 23%|█████████████████████████████████████████████████████████████▊                                                                                                                                                                                                               | 23/100 [12:41<42:33, 33.16s/it]
tuning, 0, 0.005847056396305561
tuning, 1, 0.004122359678149223
tuning, 2, 0.003623965894803405
tuning, 3, 0.0033939178101718426
tuning, 4, 0.00328522315248847
tuning, 5, 0.0031713859643787146
tuning, 6, 0.00303381378762424
tuning, 7, 0.002894483506679535
tuning, 8, 0.003027651458978653
tuning, 9, 0.0030925688333809376
tuning, 10, 0.0030302635859698057
tuning, 11, 0.0028346418403089046
tuning, 12, 0.0025479812175035477
tuning, 13, 0.0023788975086063147
tuning, 14, 0.002268431708216667
tuning, 15, 0.002296188846230507
tuning, 16, 0.0023952703922986984
tuning, 17, 0.0024567327927798033

 24%|████████████████████████████████████████████████████████████████▌                                                                                                                                                                                                            | 24/100 [13:14<41:58, 33.14s/it]
tuning, 19, 0.002295162994414568
tuning, 0, 0.008679813705384731
tuning, 1, 0.008461199700832367
tuning, 2, 0.008370893076062202
tuning, 3, 0.008070769719779491
tuning, 4, 0.007851596921682358
tuning, 5, 0.007611088454723358
tuning, 6, 0.007407933473587036
tuning, 7, 0.007234699092805386
tuning, 8, 0.007093796040862799
tuning, 9, 0.006938147358596325
tuning, 10, 0.0067754946649074554
tuning, 11, 0.006646900437772274
tuning, 12, 0.006529639475047588
tuning, 13, 0.00639719795435667
tuning, 14, 0.006266262382268906
tuning, 15, 0.0061325207352638245
tuning, 16, 0.005993696860969067
tuning, 17, 0.00587863102555275
tuning, 18, 0.005773954093456268

 25%|███████████████████████████████████████████████████████████████████▎                                                                                                                                                                                                         | 25/100 [13:47<41:22, 33.10s/it]
tuning, 0, 0.0020453629549592733
tuning, 1, 0.0017166923498734832
tuning, 2, 0.0012439253041520715
tuning, 3, 0.0012047726195305586
tuning, 4, 0.00115947553422302
tuning, 5, 0.0010617496445775032
tuning, 6, 0.0009428264456801116
tuning, 7, 0.0009109145030379295
tuning, 8, 0.00088851572945714
tuning, 9, 0.000874926510732621
tuning, 10, 0.0008753668516874313
tuning, 11, 0.0008621661690995097
tuning, 12, 0.0008175002876669168
tuning, 13, 0.0007560660596936941
tuning, 14, 0.0007053064182400703
tuning, 15, 0.0006810757331550121
tuning, 16, 0.0006686138804070652
tuning, 17, 0.0006463277968578041

 26%|█████████████████████████████████████████████████████████████████████▉                                                                                                                                                                                                       | 26/100 [14:20<40:50, 33.12s/it]
tuning, 19, 0.0005758328479714692
tuning, 0, 0.0023747216910123825
tuning, 1, 0.00225354777649045
tuning, 2, 0.001803340739570558
tuning, 3, 0.0015186815289780498
tuning, 4, 0.0015132168773561716
tuning, 5, 0.0015518907457590103
tuning, 6, 0.0014110117917880416
tuning, 7, 0.0012708285357803106
tuning, 8, 0.00123205769341439
tuning, 9, 0.0012350011384114623
tuning, 10, 0.001207561232149601
tuning, 11, 0.0011430294252932072
tuning, 12, 0.0010754427639767528
tuning, 13, 0.0010435881558805704
tuning, 14, 0.0010581053793430328
tuning, 15, 0.0010556053603067994
tuning, 16, 0.0009879569988697767
tuning, 17, 0.0009256695630028844
tuning, 18, 0.0009091102401725948

 27%|████████████████████████████████████████████████████████████████████████▋                                                                                                                                                                                                    | 27/100 [14:53<40:18, 33.13s/it]
tuning, 0, 0.002062254585325718
tuning, 1, 0.0019632158800959587
tuning, 2, 0.0017566680908203125
tuning, 3, 0.0016189503949135542
tuning, 4, 0.0015310945454984903
tuning, 5, 0.0014494704082608223
tuning, 6, 0.0013711042702198029
tuning, 7, 0.0013094150926917791
tuning, 8, 0.0012539767194539309
tuning, 9, 0.0011917647207155824
tuning, 10, 0.001132229226641357
tuning, 11, 0.001084037241525948
tuning, 12, 0.0010467541869729757
tuning, 13, 0.0010127120185643435
tuning, 14, 0.0009753938065841794
tuning, 15, 0.0009377406677231193
tuning, 16, 0.0009056832641363144

 28%|███████████████████████████████████████████████████████████████████████████▎                                                                                                                                                                                                 | 28/100 [15:26<39:44, 33.12s/it]
tuning, 18, 0.0008517798851244152
tuning, 19, 0.0008205892518162727
tuning, 0, 0.0018213277217000723
tuning, 1, 0.001482510007917881
tuning, 2, 0.0009094017441384494
tuning, 3, 0.0008035285281948745
tuning, 4, 0.0008865431882441044
tuning, 5, 0.0009262051898986101
tuning, 6, 0.0008311706478707492
tuning, 7, 0.0007671859348192811
tuning, 8, 0.0006326866568997502
tuning, 9, 0.0006000988651067019
tuning, 10, 0.0007727678748778999
tuning, 11, 0.0008546283352188766
tuning, 12, 0.0008604467730037868
tuning, 13, 0.0007913147564977407
tuning, 14, 0.0006629893323406577
tuning, 15, 0.000495525891892612
tuning, 16, 0.00043479420128278434
tuning, 17, 0.0005266530206426978
tuning, 18, 0.0005860941018909216

