  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(-0.5555, device='cuda:0') 115.125 117.1875
tensor(-0.5674, device='cuda:0') 115.125 117.1875
tensor(-0.5507, device='cuda:0') 115.125 117.1875
tensor(-0.5342, device='cuda:0') 115.125 117.1875
tensor(-0.5225, device='cuda:0') 115.125 117.1875
tensor(-0.5399, device='cuda:0') 115.125 117.25
tensor(-0.5033, device='cuda:0') 115.125 117.1875
tensor(-0.5067, device='cuda:0') 115.125 117.25
tensor(-0.4810, device='cuda:0') 115.125 117.25
tensor(-0.4847, device='cuda:0') 115.125 117.25
tensor(-0.4239, device='cuda:0') 115.125 117.25
tensor(-0.4345, device='cuda:0') 115.125 117.25
tensor(-0.4199, device='cuda:0') 115.125 117.25
tensor(-0.4104, device='cuda:0') 115.125 117.25
tensor(-0.3950, device='cuda:0') 115.125 117.25
tensor(-0.3744, device='cuda:0') 115.125 117.25
tensor(-0.3780, device='cuda:0') 115.125 117.25
tensor(-0.3699, device='cuda:0') 115.125 117.25
tensor(-0.3779, device='cuda:0') 115.125 117.25
tensor(-0.4004, device='cuda:0') 115.125 117.25
tensor(-0.4254, device='cuda:0') 115.125 117.25
tensor(-0.4011, device='cuda:0') 115.125 117.3125
tensor(-0.4016, device='cuda:0') 115.125 117.25
tensor(-0.4030, device='cuda:0') 115.125 117.25
tensor(-0.3783, device='cuda:0') 115.125 117.3125
tensor(-0.3690, device='cuda:0') 115.125 117.3125
tensor(-0.3779, device='cuda:0') 115.125 117.25
tensor(-0.3744, device='cuda:0') 115.125 117.25
tensor(-0.3783, device='cuda:0') 115.125 117.25
tensor(-0.3750, device='cuda:0') 115.125 117.25
tensor(-0.3903, device='cuda:0') 115.125 117.25
tensor(-0.3959, device='cuda:0') 115.125 117.25
tensor(-0.4007, device='cuda:0') 115.125 117.25
tensor(-0.4028, device='cuda:0') 115.125 117.25
tensor(-0.4038, device='cuda:0') 115.125 117.25
tensor(-0.3987, device='cuda:0') 115.125 117.25
tensor(-0.3898, device='cuda:0') 115.125 117.25
tensor(-0.3734, device='cuda:0') 115.125 117.25
tensor(-0.3728, device='cuda:0') 115.1875 117.25
tensor(-0.3558, device='cuda:0') 115.1875 117.25
tensor(-0.3201, device='cuda:0') 115.1875 117.25
tensor(-0.2927, device='cuda:0') 115.1875 117.25
