
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
95, NMSE : 0.005191802978515625, lr : 0.05
tensor(2.7359, device='cuda:0') tensor(0.6649, device='cuda:0')
96, NMSE : 0.005191802978515625, lr : 0.05
tensor(2.6945, device='cuda:0') tensor(0.6473, device='cuda:0')
97, NMSE : 0.005191802978515625, lr : 0.05
tensor(2.6436, device='cuda:0') tensor(0.6651, device='cuda:0')
98, NMSE : 0.00518035888671875, lr : 0.05
tensor(2.6468, device='cuda:0') tensor(0.6892, device='cuda:0')
99, NMSE : 0.005153656005859375, lr : 0.05
tensor(2.7105, device='cuda:0') tensor(0.6813, device='cuda:0')
100, NMSE : 0.005115509033203125, lr : 0.05
tensor(2.8082, device='cuda:0') tensor(0.6607, device='cuda:0')
101, NMSE : 0.0050811767578125, lr : 0.05
tensor(2.8807, device='cuda:0') tensor(0.6465, device='cuda:0')
102, NMSE : 0.00507354736328125, lr : 0.05
tensor(2.8873, device='cuda:0') tensor(0.6570, device='cuda:0')
103, NMSE : 0.0050811767578125, lr : 0.05
tensor(2.8289, device='cuda:0') tensor(0.6363, device='cuda:0')
104, NMSE : 0.005092620849609375, lr : 0.05
tensor(2.7583, device='cuda:0') tensor(0.6693, device='cuda:0')
105, NMSE : 0.00510406494140625, lr : 0.05
tensor(2.7520, device='cuda:0') tensor(0.6520, device='cuda:0')
106, NMSE : 0.005092620849609375, lr : 0.05
tensor(2.7269, device='cuda:0') tensor(0.6783, device='cuda:0')
107, NMSE : 0.005062103271484375, lr : 0.05
tensor(2.7835, device='cuda:0') tensor(0.6578, device='cuda:0')
108, NMSE : 0.005016326904296875, lr : 0.05
tensor(2.8321, device='cuda:0') tensor(0.6433, device='cuda:0')
109, NMSE : 0.00496673583984375, lr : 0.05
tensor(2.8694, device='cuda:0') tensor(0.6287, device='cuda:0')
110, NMSE : 0.00492095947265625, lr : 0.05
tensor(2.7954, device='cuda:0') tensor(0.6943, device='cuda:0')
111, NMSE : 0.0048675537109375, lr : 0.05
tensor(2.8254, device='cuda:0') tensor(0.6865, device='cuda:0')
112, NMSE : 0.004825592041015625, lr : 0.05
tensor(2.9078, device='cuda:0') tensor(0.6209, device='cuda:0')
113, NMSE : 0.004791259765625, lr : 0.05
tensor(2.8581, device='cuda:0') tensor(0.6566, device='cuda:0')
114, NMSE : 0.0047607421875, lr : 0.05
tensor(2.8679, device='cuda:0') tensor(0.6369, device='cuda:0')
115, NMSE : 0.004741668701171875, lr : 0.05
tensor(2.8587, device='cuda:0') tensor(0.6533, device='cuda:0')
116, NMSE : 0.00472259521484375, lr : 0.05
